   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 6.11941E+01	 6.11895E+01
 1.00000E-09	 6.11941E+01	 6.11895E+01
 1.00000E-09	 2.94185E+00	 2.94164E+00
 1.00000E-08	 2.94185E+00	 2.94164E+00
 1.00000E-08	 2.82631E+01	 2.82610E+01
 2.30000E-08	 2.82631E+01	 2.82610E+01
 2.30000E-08	 5.49456E+01	 5.49415E+01
 5.00000E-08	 5.49456E+01	 5.49415E+01
 5.00000E-08	 8.62284E+01	 8.62220E+01
 7.60000E-08	 8.62284E+01	 8.62220E+01
 7.60000E-08	 5.13901E+01	 5.13863E+01
 1.15000E-07	 5.13901E+01	 5.13863E+01
 1.15000E-07	 4.33081E+01	 4.33050E+01
 1.70000E-07	 4.33081E+01	 4.33050E+01
 1.70000E-07	 4.09045E+01	 4.09015E+01
 2.55000E-07	 4.09045E+01	 4.09015E+01
 2.55000E-07	 3.42898E+01	 3.42872E+01
 3.80000E-07	 3.42898E+01	 3.42872E+01
 3.80000E-07	 1.91366E+01	 1.91352E+01
 5.50000E-07	 1.91366E+01	 1.91352E+01
 5.50000E-07	 9.77768E+00	 9.77696E+00
 8.40000E-07	 9.77768E+00	 9.77696E+00
 8.40000E-07	 1.00417E+01	 1.00410E+01
 1.27500E-06	 1.00417E+01	 1.00410E+01
 1.27500E-06	 1.10497E+01	 1.10489E+01
 1.90000E-06	 1.10497E+01	 1.10489E+01
 1.90000E-06	 1.41588E+01	 1.41578E+01
 2.80000E-06	 1.41588E+01	 1.41578E+01
 2.80000E-06	 1.37568E+01	 1.37558E+01
 4.25000E-06	 1.37568E+01	 1.37558E+01
 4.25000E-06	 1.34590E+01	 1.34579E+01
 6.30000E-06	 1.34590E+01	 1.34579E+01
 6.30000E-06	 2.30313E+01	 2.30295E+01
 9.20000E-06	 2.30313E+01	 2.30295E+01
 9.20000E-06	 1.49945E+01	 1.49934E+01
 1.35000E-05	 1.49945E+01	 1.49934E+01
 1.35000E-05	 8.18392E+00	 8.18328E+00
 2.10000E-05	 8.18392E+00	 8.18328E+00
 2.10000E-05	 1.51165E+01	 1.51154E+01
 3.00000E-05	 1.51165E+01	 1.51154E+01
 3.00000E-05	 1.88760E+01	 1.88744E+01
 4.50000E-05	 1.88760E+01	 1.88744E+01
 4.50000E-05	 8.83899E+00	 8.83828E+00
 6.90000E-05	 8.83899E+00	 8.83828E+00
 6.90000E-05	 1.92175E+01	 1.92159E+01
 1.00000E-04	 1.92175E+01	 1.92159E+01
 1.00000E-04	 1.42992E+01	 1.42980E+01
 1.35000E-04	 1.42992E+01	 1.42980E+01
 1.35000E-04	 7.77051E+00	 7.76983E+00
 1.70000E-04	 7.77051E+00	 7.76983E+00
 1.70000E-04	 7.00512E+00	 7.00449E+00
 2.20000E-04	 7.00512E+00	 7.00449E+00
 2.20000E-04	 7.68372E+00	 7.68292E+00
 2.80000E-04	 7.68372E+00	 7.68292E+00
 2.80000E-04	 1.54118E+01	 1.54103E+01
 3.60000E-04	 1.54118E+01	 1.54103E+01
 3.60000E-04	 1.86281E+01	 1.86263E+01
 4.50000E-04	 1.86281E+01	 1.86263E+01
 4.50000E-04	 1.02879E+01	 1.02864E+01
 5.75000E-04	 1.02879E+01	 1.02864E+01
 5.75000E-04	 1.14456E+01	 1.14445E+01
 7.60000E-04	 1.14456E+01	 1.14445E+01
 7.60000E-04	 2.69988E+01	 2.69951E+01
 9.60000E-04	 2.69988E+01	 2.69951E+01
 9.60000E-04	 1.26401E+01	 1.26385E+01
 1.27500E-03	 1.26401E+01	 1.26385E+01
 1.27500E-03	 8.85404E+00	 8.85279E+00
 1.60000E-03	 8.85404E+00	 8.85279E+00
 1.60000E-03	 7.84203E+00	 7.84104E+00
 2.00000E-03	 7.84203E+00	 7.84104E+00
 2.00000E-03	 1.52724E+01	 1.52700E+01
 2.70000E-03	 1.52724E+01	 1.52700E+01
 2.70000E-03	 1.36811E+01	 1.36790E+01
 3.40000E-03	 1.36811E+01	 1.36790E+01
 3.40000E-03	 1.44870E+01	 1.44850E+01
 4.50000E-03	 1.44870E+01	 1.44850E+01
 4.50000E-03	 3.65055E+01	 3.65007E+01
 5.50000E-03	 3.65055E+01	 3.65007E+01
 5.50000E-03	 1.63436E+01	 1.63421E+01
 7.20000E-03	 1.63436E+01	 1.63421E+01
 7.20000E-03	 2.22207E+01	 2.22174E+01
 9.20000E-03	 2.22207E+01	 2.22174E+01
 9.20000E-03	 3.73675E+01	 3.73641E+01
 1.20000E-02	 3.73675E+01	 3.73641E+01
 1.20000E-02	 3.21095E+01	 3.21063E+01
 1.50000E-02	 3.21095E+01	 3.21063E+01
 1.50000E-02	 6.03149E+01	 6.03069E+01
