      CAPT =   6.94456E-01 D     = 6.00010E+04 S
 CALC_CAPT =   6.94444E-01 D     = 6.00000E+04 S
     XPROD =   6.90972E+09 Qty×D = 5.97000E+14 Qty×S
     AVGBM =   9.95000E+09 Qty

NUCLIDE     HALF-LIFE -    LAMBDA     EFF_FLUX      B_EFF     B_CONST   RATIO
(--)        (varies) (un)   (1/D)       (Qty)       (--)        (--)     (--)
2-He-4     Infinity   S  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00 1.000
9-F-18     6.5848E+03 S  9.0949E+00  9.9320E+09  9.9819E-01  9.9819E-01 1.000
11-Na-22   8.2135E+07 S  7.2914E-04  5.0369E+06  5.0622E-04  5.0622E-04 1.000
11-Na-24   5.3824E+04 S  1.1127E+00  5.3554E+09  5.3823E-01  5.3823E-01 1.000
12-Mg-27   5.6748E+02 S  1.0553E+02  9.9500E+09  1.0000E+00  1.0000E+00 1.000
13-Al-28   1.3448E+02 S  4.4532E+02  9.9500E+09  1.0000E+00  1.0000E+00 1.000
14-Si-31   9.4380E+03 S  6.3454E+00  9.8286E+09  9.8780E-01  9.8780E-01 1.000
15-P-32    1.2322E+06 S  4.8601E-02  3.3022E+08  3.3187E-02  3.3187E-02 1.000
21-Sc-46   7.2395E+06 S  8.2724E-03  5.6996E+07  5.7283E-03  5.7283E-03 1.000
22-Ti-45   1.1088E+04 S  5.4011E+00  9.7162E+09  9.7650E-01  9.7650E-01 1.000
21-Sc-47   2.8937E+05 S  2.0696E-01  1.3320E+09  1.3387E-01  1.3387E-01 1.000
21-Sc-48   1.5721E+05 S  3.8094E-01  2.3128E+09  2.3244E-01  2.3244E-01 1.000
24-Cr-51   2.3935E+06 S  2.5021E-02  1.7140E+08  1.7226E-02  1.7226E-02 1.000
25-Mn-56   9.2840E+03 S  6.4506E+00  9.8372E+09  9.8866E-01  9.8866E-01 1.000
25-Mn-54   2.6967E+07 S  2.2208E-03  1.5333E+07  1.5410E-03  1.5410E-03 1.000
26-Fe-53   5.1060E+02 S  1.1729E+02  9.9500E+09  1.0000E+00  1.0000E+00 1.000
26-Fe-59   3.8444E+06 S  1.5578E-02  1.0706E+08  1.0760E-02  1.0760E-02 1.000
27-Co-58   6.1223E+06 S  9.7819E-03  6.7361E+07  6.7700E-03  6.7700E-03 1.000
27-Co-57   2.3478E+07 S  2.5508E-03  1.7610E+07  1.7698E-03  1.7698E-03 1.000
27-Co-60   1.6634E+08 S  3.6002E-04  2.4874E+06  2.4999E-04  2.4999E-04 1.000
28-Ni-57   1.2816E+05 S  4.6729E-01  2.7573E+09  2.7712E-01  2.7712E-01 1.000
29-Cu-62   5.8020E+02 S  1.0322E+02  9.9500E+09  1.0000E+00  1.0000E+00 1.000
29-Cu-64   4.5720E+04 S  1.3099E+00  5.9434E+09  5.9733E-01  5.9733E-01 1.000
29-Cu-67   2.2259E+05 S  2.6905E-01  1.6957E+09  1.7043E-01  1.7043E-01 1.000
33-As-74   1.5353E+06 S  3.9007E-02  2.6591E+08  2.6724E-02  2.6724E-02 1.000
