  UMG package, version 3.3, release date: March 1, 2004

  Deconvolution Using the MAXED (Maximum Entropy) Algorithm
  =========================================================

  File with Input Data : m16d.phs                                

  File with Default Spectrum         : m16d_in.flu                             
  Default Spectrum Fluence Format    : fluence rate per bin
  Energy of Default Sp.  in Units of : MeV

  File with Response Function        : n_resp.rsp                              
  Response Functions     in Units of :     cm^2
  Energy of Final Spect. in Units of : MeV

  Chi-squared P.D.F. Using the Default Spectrum     = 9.706044E+04
  Final Chi-squared P.D.F.                          = 6.918453E+04
  NOTE: Chi-squared Per Degree of Freedom was set to:    1.000


  *** RESULTS FOR THE FINAL SPECTRUM: ***

       DN              M             C     (C-M)/S     (C-M)/M
       34   1.494000E+03  8.674822E-02   -38.65035    -0.99994
       35   1.274000E+03  6.796738E-02   -35.69137    -0.99995
       36   1.037000E+03  4.770293E-02   -32.20149    -0.99995
       37   8.480000E+02  3.120778E-02   -29.11981    -0.99996
       38   6.660000E+02  1.974562E-02   -25.80619    -0.99997
       39   5.720000E+02  1.097988E-02   -23.91558    -0.99998
       40   4.130000E+02  5.865389E-03   -20.32251    -0.99999
       41   3.560000E+02  8.269927E-04   -18.86788    -1.00000
       42   2.270000E+02  1.496775E-03   -15.06594    -0.99999
       43   1.700000E+02  5.875926E-04   -13.03876    -1.00000
       44   1.380000E+02  5.973190E-04   -11.74763    -1.00000
       45   8.700000E+01  4.926085E-04    -9.32731    -0.99999
       46   5.800000E+01  5.075880E-03    -7.61508    -0.99991
       47   2.800000E+01  1.601353E-04    -5.29147    -0.99999
       48   1.100000E+01  2.589396E-04    -3.31657    -0.99998
       49   1.000000E+01  1.059218E-03    -3.16192    -0.99989
       50   1.000000E+01  1.056461E-04    -3.16222    -0.99999
       51   1.400000E+01  1.540549E-04    -3.74157    -0.99999
       52   1.000000E+01  5.405677E-04    -3.16208    -0.99995
       53   3.000000E+00  2.610556E-04    -1.73185    -0.99991
       54   2.000000E+00  1.540704E-04    -1.41412    -0.99992
       55   1.000000E+00  3.835269E-08    -1.00000    -1.00000

  Note: DN = detector number
        M = measured count rate
        C = calculated count rate
        S = estimated standard uncertainty


  Scaling Factor/Default Spectrum for best fit = 1.0954E+03
  Scaling Factor/Default Spectrum used         = 1.0000E+00

  Bin Structure Used : Response Function Bin Structure

  Lowest energy bin edge set to : 1.0000E+00 MeV
  Highest energy bin edge set to: 2.0000E+01 MeV

  Choice of solution spectrum representation : ~ dF/dE             

  Number of iterations in L-BFGS-B               =   20000
  Maximum number of iterations in L-BFGS-B set to:   20000

  *** MAXED PARAMETER LAMBDA ***

       DN         LAMBDA
        1  -2.078587E+12
        2   1.728259E+12
        3   5.646337E+12
        4  -3.418154E+11
        5   1.913623E+12
        6   1.801658E+12
        7   5.536261E+11
        8   4.974595E+10
        9   7.310862E+11
       10   2.618046E+12
       11   2.905923E+12
       12   4.392773E+12
       13   4.611970E+12
       14   3.572662E+12
       15   1.408537E+12
       16   1.201970E+12
       17   1.809725E+12
       18   2.497410E+12
       19   2.985693E+12
       20   3.153656E+12
       21   3.641750E+12
