IN115G  IFX  3.937E+01 140INNG   3.67000E+22
 9.4938773E-02 2.6883619E-01 4.6343169E-01 5.5217574E-01 6.1214888E-01 6.5326131E-01
 6.6944824E-01 6.8797470E-01 6.9323260E-01 6.7668748E-01 6.0738594E-01 2.8309437E-01
 2.2539651E-02 6.6084517E-01 3.7736726E-01 9.5158145E-01 2.3028308E-01 6.8388382E-01
 9.9640565E-01 5.8816054E-01 4.6117403E-01 8.6910981E-01 6.6913877E-01 8.0553984E-01
 6.9522209E-01 6.4082599E-01 6.7671160E-01 7.4593449E-01 8.2101902E-01 8.5145511E-01
 9.0249398E-01 8.9963611E-01 9.1245421E-01 9.5378817E-01 9.2210705E-01 9.7582061E-01
 9.7883789E-01 9.8131781E-01 9.8330029E-01 9.8485644E-01 9.8639037E-01 9.8734671E-01
 9.8897759E-01 9.8971630E-01 9.9092893E-01 9.9176035E-01 9.9262798E-01 9.9340651E-01
 9.9419003E-01 9.9488214E-01 9.9553248E-01 9.9596231E-01 9.9635761E-01 9.9664823E-01
 9.9685727E-01 9.9703904E-01 9.9718531E-01 9.9726236E-01 9.9736669E-01 9.9742987E-01
 9.9748162E-01 9.9752027E-01 9.9753869E-01 9.9754487E-01 9.9754109E-01 9.9752586E-01
 9.9750562E-01 9.9747832E-01 9.9743522E-01 9.9739493E-01 9.9732738E-01 9.9730155E-01
 9.9738776E-01 9.9758807E-01 9.9785256E-01 9.9823832E-01 9.9860770E-01 9.9901714E-01
 9.9926775E-01 9.9972900E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  IFX  1.000E+01 140AUNG   5.90000E+22
 3.0873202E-01 5.7935023E-01 7.4936648E-01 8.0689929E-01 8.4319247E-01 8.6816216E-01
 8.7876739E-01 8.9359893E-01 9.0533666E-01 9.1450780E-01 9.2053367E-01 9.2300956E-01
 9.1777078E-01 8.9329373E-01 6.9731742E-01 6.8107488E-02 9.0104366E-01 9.8223330E-01
 9.9468356E-01 9.9765291E-01 9.9809142E-01 3.0823203E-01 6.3108040E-01 7.4494843E-01
 6.9461593E-01 7.0238038E-01 6.8262255E-01 6.7516124E-01 7.7352393E-01 7.9291863E-01
 8.0974968E-01 8.4489202E-01 8.7651039E-01 9.1686378E-01 9.3340281E-01 9.4561309E-01
 9.6178676E-01 9.6942870E-01 9.8625007E-01 9.9096285E-01 9.9254281E-01 9.9340676E-01
 9.9478251E-01 9.9537794E-01 9.9613576E-01 9.9644351E-01 9.9683585E-01 9.9718444E-01
 9.9748100E-01 9.9774857E-01 9.9796592E-01 9.9809208E-01 9.9820115E-01 9.9827928E-01
 9.9834935E-01 9.9841636E-01 9.9853086E-01 9.9866448E-01 9.9877476E-01 9.9885568E-01
 9.9894207E-01 9.9902430E-01 9.9910389E-01 9.9917245E-01 9.9925919E-01 9.9929710E-01
 9.9931761E-01 9.9935419E-01 9.9937075E-01 9.9938294E-01 9.9942438E-01 9.9945639E-01
 9.9947904E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
