   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 9.04301E+00	 9.04349E+00
 1.00000E-09	 9.04301E+00	 9.04349E+00
 1.00000E-09	 1.49783E+01	 1.49788E+01
 1.00000E-08	 1.49783E+01	 1.49788E+01
 1.00000E-08	 4.75694E+01	 4.75703E+01
 2.30000E-08	 4.75694E+01	 4.75703E+01
 2.30000E-08	 7.34862E+01	 7.34865E+01
 5.00000E-08	 7.34862E+01	 7.34865E+01
 5.00000E-08	 1.81003E+02	 1.81001E+02
 7.60000E-08	 1.81003E+02	 1.81001E+02
 7.60000E-08	 2.38050E+02	 2.38045E+02
 1.15000E-07	 2.38050E+02	 2.38045E+02
 1.15000E-07	 3.05235E+02	 3.05224E+02
 1.70000E-07	 3.05235E+02	 3.05224E+02
 1.70000E-07	 3.22694E+02	 3.22678E+02
 2.55000E-07	 3.22694E+02	 3.22678E+02
 2.55000E-07	 3.15940E+02	 3.15922E+02
 3.80000E-07	 3.15940E+02	 3.15922E+02
 3.80000E-07	 3.06917E+02	 3.06897E+02
 5.50000E-07	 3.06917E+02	 3.06897E+02
 5.50000E-07	 2.32508E+02	 2.32491E+02
 8.40000E-07	 2.32508E+02	 2.32491E+02
 8.40000E-07	 1.92286E+02	 1.92272E+02
 1.27500E-06	 1.92286E+02	 1.92272E+02
 1.27500E-06	 1.51417E+02	 1.51405E+02
 1.90000E-06	 1.51417E+02	 1.51405E+02
 1.90000E-06	 1.03326E+02	 1.03318E+02
 2.80000E-06	 1.03326E+02	 1.03318E+02
 2.80000E-06	 4.78141E+01	 4.78106E+01
 4.25000E-06	 4.78141E+01	 4.78106E+01
 4.25000E-06	 2.25346E+01	 2.25331E+01
 6.30000E-06	 2.25346E+01	 2.25331E+01
 6.30000E-06	 1.74940E+01	 1.74931E+01
 9.20000E-06	 1.74940E+01	 1.74931E+01
 9.20000E-06	 1.37770E+01	 1.37766E+01
 1.35000E-05	 1.37770E+01	 1.37766E+01
 1.35000E-05	 1.02639E+01	 1.02638E+01
 2.10000E-05	 1.02639E+01	 1.02638E+01
 2.10000E-05	 1.17039E+01	 1.17041E+01
 3.00000E-05	 1.17039E+01	 1.17041E+01
 3.00000E-05	 1.02853E+01	 1.02858E+01
 4.50000E-05	 1.02853E+01	 1.02858E+01
 4.50000E-05	 1.04858E+01	 1.04868E+01
 6.90000E-05	 1.04858E+01	 1.04868E+01
 6.90000E-05	 1.37805E+01	 1.37827E+01
 1.00000E-04	 1.37805E+01	 1.37827E+01
 1.00000E-04	 2.03429E+01	 2.03474E+01
 1.35000E-04	 2.03429E+01	 2.03474E+01
 1.35000E-04	 3.26288E+01	 3.26384E+01
 1.70000E-04	 3.26288E+01	 3.26384E+01
 1.70000E-04	 3.64048E+01	 3.64179E+01
 2.20000E-04	 3.64048E+01	 3.64179E+01
 2.20000E-04	 4.81351E+01	 4.81547E+01
 2.80000E-04	 4.81351E+01	 4.81547E+01
 2.80000E-04	 5.62388E+01	 5.62632E+01
 3.60000E-04	 5.62388E+01	 5.62632E+01
 3.60000E-04	 7.50400E+01	 7.50732E+01
 4.50000E-04	 7.50400E+01	 7.50732E+01
 4.50000E-04	 7.91736E+01	 7.92081E+01
 5.75000E-04	 7.91736E+01	 7.92081E+01
 5.75000E-04	 7.87798E+01	 7.88136E+01
 7.60000E-04	 7.87798E+01	 7.88136E+01
 7.60000E-04	 1.03747E+02	 1.03790E+02
 9.60000E-04	 1.03747E+02	 1.03790E+02
 9.60000E-04	 9.79094E+01	 9.79492E+01
 1.27500E-03	 9.79094E+01	 9.79492E+01
 1.27500E-03	 1.76557E+02	 1.76626E+02
 1.60000E-03	 1.76557E+02	 1.76626E+02
 1.60000E-03	 2.23603E+02	 2.23687E+02
 2.00000E-03	 2.23603E+02	 2.23687E+02
 2.00000E-03	 1.91533E+02	 1.91602E+02
 2.70000E-03	 1.91533E+02	 1.91602E+02
 2.70000E-03	 2.71590E+02	 2.71683E+02
 3.40000E-03	 2.71590E+02	 2.71683E+02
 3.40000E-03	 2.36372E+02	 2.36449E+02
 4.50000E-03	 2.36372E+02	 2.36449E+02
 4.50000E-03	 3.38761E+02	 3.38871E+02
 5.50000E-03	 3.38761E+02	 3.38871E+02
 5.50000E-03	 2.55696E+02	 2.55779E+02
 7.20000E-03	 2.55696E+02	 2.55779E+02
 7.20000E-03	 2.78989E+02	 2.79078E+02
 9.20000E-03	 2.78989E+02	 2.79078E+02
 9.20000E-03	 2.53633E+02	 2.53714E+02
 1.20000E-02	 2.53633E+02	 2.53714E+02
 1.20000E-02	 2.93810E+02	 2.93905E+02
 1.50000E-02	 2.93810E+02	 2.93905E+02
 1.50000E-02	 2.69761E+02	 2.69848E+02
 1.90000E-02	 2.69761E+02	 2.69848E+02
 1.90000E-02	 2.10390E+02	 2.10458E+02
 2.55000E-02	 2.10390E+02	 2.10458E+02
 2.55000E-02	 2.63625E+02	 2.63710E+02
 3.20000E-02	 2.63625E+02	 2.63710E+02
 3.20000E-02	 2.60931E+02	 2.61014E+02
 4.00000E-02	 2.60931E+02	 2.61014E+02
 4.00000E-02	 2.10086E+02	 2.10153E+02
 5.25000E-02	 2.10086E+02	 2.10153E+02
 5.25000E-02	 2.46468E+02	 2.46547E+02
 6.60000E-02	 2.46468E+02	 2.46547E+02
 6.60000E-02	 1.96533E+02	 1.96598E+02
 8.80000E-02	 1.96533E+02	 1.96598E+02
 8.80000E-02	 2.57616E+02	 2.57704E+02
 1.10000E-01	 2.57616E+02	 2.57704E+02
 1.10000E-01	 2.91169E+02	 2.91277E+02
 1.35000E-01	 2.91169E+02	 2.91277E+02
 1.35000E-01	 3.71943E+02	 3.72097E+02
 1.60000E-01	 3.71943E+02	 3.72097E+02
 1.60000E-01	 4.02060E+02	 4.02250E+02
 1.90000E-01	 4.02060E+02	 4.02250E+02
 1.90000E-01	 5.32703E+02	 5.32995E+02
