IN115G  IFX  0.394E+02  45INNG
 5.0152325E-01 3.6460141E-02 3.3715295E-01 5.5916078E-01 5.9289383E-01 6.6936717E-01
 8.0469010E-01 9.2641858E-01 9.8393746E-01 9.8803856E-01 9.8986424E-01 9.9165013E-01
 9.9219611E-01 9.9350124E-01 9.9505109E-01 9.9633043E-01 9.9704866E-01 9.9756574E-01
 9.9771439E-01 9.9758289E-01 9.9747575E-01 9.9736690E-01 9.9726577E-01 9.9725435E-01
 9.9735309E-01 9.9771594E-01 9.9820994E-01 9.9855338E-01 9.9887473E-01 9.9945776E-01
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00
AU197G  IFX  0.100E+02  45AUNG
 9.2026718E-01 9.0244068E-01 9.3058394E-02 9.9139593E-01 3.4276622E-01 7.0223189E-01
 7.2409629E-01 8.2785212E-01 9.3322994E-01 9.8362647E-01 9.9411157E-01 9.9623921E-01
 9.9647796E-01 9.9712312E-01 9.9777534E-01 9.9817546E-01 9.9836999E-01 9.9861243E-01
 9.9900250E-01 9.9922667E-01 9.9930079E-01 9.9933528E-01 9.9937878E-01 9.9942169E-01
 9.9946573E-01 9.9986360E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00
TA181G  IFX  0.394E+01  45TANG
 9.9094746E-01 9.8882518E-01 2.9326199E-01 6.9820528E-01 5.5760062E-01 8.1992223E-01
 9.2426295E-01 9.5666898E-01 9.8222499E-01 9.9503251E-01 9.9707081E-01 9.9808142E-01
 9.9825563E-01 9.9859921E-01 9.9892218E-01 9.9917581E-01 9.9938765E-01 9.9968765E-01
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00
