All -> Chi^2/DOF~22
AL27P    5.65E-30 0.00270
AL27A    5.24E-30 0.00310
NI582    1.23E-30 0.00470
NI58P    4.23E-29 0.00260
ZR902    2.15E-29 0.00450
IN115N   2.00E-29 0.00260
IN115G   1.82E-30 0.00370
AU1972   7.48E-29 0.00340
AU197G   1.10E-30 0.00340
CU632    1.43E-29 0.00430
CU652    2.66E-29 0.00400
TI462    2.92E-30 0.00530
TI47P    9.08E-30 0.00260
TI48P    2.62E-30 0.00400
>5MeV@90% -> Chi^2/DOF~5
All:
AL27P    5.65E-30 0.00270
AL27A    5.24E-30 0.00310
NI582    1.23E-30 0.00470
ZR902    2.15E-29 0.00450
AU1972   7.48E-29 0.00340
CU632    1.43E-29 0.00430
CU652    2.66E-29 0.00400
TI462    2.92E-30 0.00530
TI48P    2.62E-30 0.00400
>5MeV@90%_NIFonly - > Chi^2/DOF~8
AL27P    5.65E-30 0.00270
AL27A    5.24E-30 0.00310
NI582    1.23E-30 0.00470
ZR902    2.15E-29 0.00450
AU1972   7.48E-29 0.00340
