   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 3.82364E+01	 3.82092E+01
 1.00000E-09	 3.82364E+01	 3.82092E+01
 1.00000E-09	 4.76448E+00	 4.76153E+00
 1.00000E-08	 4.76448E+00	 4.76153E+00
 1.00000E-08	 5.59521E+01	 5.59217E+01
 2.30000E-08	 5.59521E+01	 5.59217E+01
 2.30000E-08	 1.31110E+02	 1.31048E+02
 5.00000E-08	 1.31110E+02	 1.31048E+02
 5.00000E-08	 1.72455E+02	 1.72385E+02
 7.60000E-08	 1.72455E+02	 1.72385E+02
 7.60000E-08	 1.15325E+02	 1.15284E+02
 1.15000E-07	 1.15325E+02	 1.15284E+02
 1.15000E-07	 8.72769E+01	 8.72505E+01
 1.70000E-07	 8.72769E+01	 8.72505E+01
 1.70000E-07	 5.81148E+01	 5.80992E+01
 2.55000E-07	 5.81148E+01	 5.80992E+01
 2.55000E-07	 4.49136E+01	 4.49022E+01
 3.80000E-07	 4.49136E+01	 4.49022E+01
 3.80000E-07	 2.87927E+01	 2.87852E+01
 5.50000E-07	 2.87927E+01	 2.87852E+01
 5.50000E-07	 1.45911E+01	 1.45868E+01
 8.40000E-07	 1.45911E+01	 1.45868E+01
 8.40000E-07	 1.36976E+01	 1.36927E+01
 1.27500E-06	 1.36976E+01	 1.36927E+01
 1.27500E-06	 1.52407E+01	 1.52338E+01
 1.90000E-06	 1.52407E+01	 1.52338E+01
 1.90000E-06	 1.88371E+01	 1.88261E+01
 2.80000E-06	 1.88371E+01	 1.88261E+01
 2.80000E-06	 1.76643E+01	 1.76509E+01
 4.25000E-06	 1.76643E+01	 1.76509E+01
 4.25000E-06	 1.65147E+01	 1.64988E+01
 6.30000E-06	 1.65147E+01	 1.64988E+01
 6.30000E-06	 2.68006E+01	 2.67675E+01
 9.20000E-06	 2.68006E+01	 2.67675E+01
 9.20000E-06	 1.72354E+01	 1.72066E+01
 1.35000E-05	 1.72354E+01	 1.72066E+01
 1.35000E-05	 8.88716E+00	 8.86682E+00
 2.10000E-05	 8.88716E+00	 8.86682E+00
 2.10000E-05	 1.55272E+01	 1.54777E+01
 3.00000E-05	 1.55272E+01	 1.54777E+01
 3.00000E-05	 1.80132E+01	 1.79347E+01
 4.50000E-05	 1.80132E+01	 1.79347E+01
 4.50000E-05	 7.85517E+00	 7.80966E+00
 6.90000E-05	 7.85517E+00	 7.80966E+00
 6.90000E-05	 1.57690E+01	 1.56515E+01
 1.00000E-04	 1.57690E+01	 1.56515E+01
 1.00000E-04	 1.08876E+01	 1.07874E+01
 1.35000E-04	 1.08876E+01	 1.07874E+01
 1.35000E-04	 5.50778E+00	 5.44758E+00
 1.70000E-04	 5.50778E+00	 5.44758E+00
 1.70000E-04	 4.62606E+00	 4.56815E+00
 2.20000E-04	 4.62606E+00	 4.56815E+00
 2.20000E-04	 4.91192E+00	 4.84365E+00
 2.80000E-04	 4.91192E+00	 4.84365E+00
 2.80000E-04	 9.15709E+00	 9.01975E+00
 3.60000E-04	 9.15709E+00	 9.01975E+00
 3.60000E-04	 1.06174E+01	 1.04496E+01
 4.50000E-04	 1.06174E+01	 1.04496E+01
 4.50000E-04	 6.39190E+00	 6.28758E+00
 5.75000E-04	 6.39190E+00	 6.28758E+00
 5.75000E-04	 6.42956E+00	 6.32322E+00
 7.60000E-04	 6.42956E+00	 6.32322E+00
 7.60000E-04	 1.64261E+01	 1.61562E+01
 9.60000E-04	 1.64261E+01	 1.61562E+01
 9.60000E-04	 7.70838E+00	 7.58446E+00
 1.27500E-03	 7.70838E+00	 7.58446E+00
 1.27500E-03	 5.85564E+00	 5.76566E+00
 1.60000E-03	 5.85564E+00	 5.76566E+00
 1.60000E-03	 5.40865E+00	 5.33094E+00
 2.00000E-03	 5.40865E+00	 5.33094E+00
 2.00000E-03	 1.20964E+01	 1.19382E+01
 2.70000E-03	 1.20964E+01	 1.19382E+01
 2.70000E-03	 1.17269E+01	 1.15922E+01
 3.40000E-03	 1.17269E+01	 1.15922E+01
 3.40000E-03	 1.36199E+01	 1.34882E+01
 4.50000E-03	 1.36199E+01	 1.34882E+01
 4.50000E-03	 3.83792E+01	 3.80837E+01
 5.50000E-03	 3.83792E+01	 3.80837E+01
 5.50000E-03	 1.83697E+01	 1.82658E+01
 7.20000E-03	 1.83697E+01	 1.82658E+01
 7.20000E-03	 3.04938E+01	 3.03831E+01
 9.20000E-03	 3.04938E+01	 3.03831E+01
 9.20000E-03	 5.30941E+01	 5.30033E+01
 1.20000E-02	 5.30941E+01	 5.30033E+01
 1.20000E-02	 5.15232E+01	 5.15249E+01
 1.50000E-02	 5.15232E+01	 5.15249E+01
 1.50000E-02	 1.10453E+02	 1.10622E+02
 1.90000E-02	 1.10453E+02	 1.10622E+02
 1.90000E-02	 1.30545E+02	 1.30907E+02
 2.55000E-02	 1.30545E+02	 1.30907E+02
 2.55000E-02	 1.23274E+02	 1.23732E+02
 3.20000E-02	 1.23274E+02	 1.23732E+02
 3.20000E-02	 1.07510E+02	 1.07982E+02
 4.00000E-02	 1.07510E+02	 1.07982E+02
 4.00000E-02	 2.73010E+02	 2.74327E+02
 5.25000E-02	 2.73010E+02	 2.74327E+02
 5.25000E-02	 3.63630E+02	 3.65469E+02
 6.60000E-02	 3.63630E+02	 3.65469E+02
 6.60000E-02	 5.56748E+02	 5.59608E+02
 8.80000E-02	 5.56748E+02	 5.59608E+02
 8.80000E-02	 8.91284E+02	 8.95847E+02
 1.10000E-01	 8.91284E+02	 8.95847E+02
 1.10000E-01	 1.06314E+03	 1.06847E+03
 1.35000E-01	 1.06314E+03	 1.06847E+03
 1.35000E-01	 1.40102E+03	 1.40785E+03
 1.60000E-01	 1.40102E+03	 1.40785E+03
 1.60000E-01	 1.82717E+03	 1.83576E+03
 1.90000E-01	 1.82717E+03	 1.83576E+03
 1.90000E-01	 2.54137E+03	 2.55284E+03
 2.20000E-01	 2.54137E+03	 2.55284E+03
 2.20000E-01	 3.17899E+03	 3.19261E+03
 2.55000E-01	 3.17899E+03	 3.19261E+03
 2.55000E-01	 4.76489E+03	 4.78413E+03
 2.90000E-01	 4.76489E+03	 4.78413E+03
 2.90000E-01	 5.12904E+03	 5.14829E+03
 3.20000E-01	 5.12904E+03	 5.14829E+03
 3.20000E-01	 7.12770E+03	 7.15245E+03
 3.60000E-01	 7.12770E+03	 7.15245E+03
 3.60000E-01	 1.15957E+04	 1.16325E+04
 4.00000E-01	 1.15957E+04	 1.16325E+04
 4.00000E-01	 1.85412E+04	 1.85944E+04
 4.50000E-01	 1.85412E+04	 1.85944E+04
 4.50000E-01	 2.59657E+04	 2.60323E+04
 5.00000E-01	 2.59657E+04	 2.60323E+04
 5.00000E-01	 3.77437E+04	 3.78297E+04
 5.50000E-01	 3.77437E+04	 3.78297E+04
 5.50000E-01	 5.38429E+04	 5.39525E+04
 6.00000E-01	 5.38429E+04	 5.39525E+04
 6.00000E-01	 6.77135E+04	 6.78378E+04
 6.60000E-01	 6.77135E+04	 6.78378E+04
 6.60000E-01	 8.86877E+04	 8.88390E+04
 7.20000E-01	 8.86877E+04	 8.88390E+04
 7.20000E-01	 1.14644E+05	 1.14829E+05
 7.80000E-01	 1.14644E+05	 1.14829E+05
 7.80000E-01	 1.23032E+05	 1.23223E+05
 8.40000E-01	 1.23032E+05	 1.23223E+05
 8.40000E-01	 1.34369E+05	 1.34570E+05
