   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 3.49192E+01	 3.48854E+01
 1.00000E-09	 3.49192E+01	 3.48854E+01
 1.00000E-09	 2.21452E+00	 2.21285E+00
 1.00000E-08	 2.21452E+00	 2.21285E+00
 1.00000E-08	 2.58076E+01	 2.57940E+01
 2.30000E-08	 2.58076E+01	 2.57940E+01
 2.30000E-08	 5.92156E+01	 5.91974E+01
 5.00000E-08	 5.92156E+01	 5.91974E+01
 5.00000E-08	 1.21810E+02	 1.21800E+02
 7.60000E-08	 1.21810E+02	 1.21800E+02
 7.60000E-08	 8.48154E+01	 8.48258E+01
 1.15000E-07	 8.48154E+01	 8.48258E+01
 1.15000E-07	 9.53240E+01	 9.53540E+01
 1.70000E-07	 9.53240E+01	 9.53540E+01
 1.70000E-07	 1.82649E+02	 1.82739E+02
 2.55000E-07	 1.82649E+02	 1.82739E+02
 2.55000E-07	 2.28739E+02	 2.28888E+02
 3.80000E-07	 2.28739E+02	 2.28888E+02
 3.80000E-07	 1.07336E+02	 1.07417E+02
 5.50000E-07	 1.07336E+02	 1.07417E+02
 5.50000E-07	 5.55671E+01	 5.56117E+01
 8.40000E-07	 5.55671E+01	 5.56117E+01
 8.40000E-07	 6.97197E+01	 6.97757E+01
 1.27500E-06	 6.97197E+01	 6.97757E+01
 1.27500E-06	 5.94768E+01	 5.95212E+01
 1.90000E-06	 5.94768E+01	 5.95212E+01
 1.90000E-06	 6.22487E+01	 6.22888E+01
 2.80000E-06	 6.22487E+01	 6.22888E+01
 2.80000E-06	 4.52046E+01	 4.52269E+01
 4.25000E-06	 4.52046E+01	 4.52269E+01
 4.25000E-06	 3.06078E+01	 3.06170E+01
 6.30000E-06	 3.06078E+01	 3.06170E+01
 6.30000E-06	 3.34766E+01	 3.34791E+01
 9.20000E-06	 3.34766E+01	 3.34791E+01
 9.20000E-06	 1.30420E+01	 1.30396E+01
 1.35000E-05	 1.30420E+01	 1.30396E+01
 1.35000E-05	 3.97145E+00	 3.96963E+00
 2.10000E-05	 3.97145E+00	 3.96963E+00
 2.10000E-05	 4.55659E+00	 4.55316E+00
 3.00000E-05	 4.55659E+00	 4.55316E+00
 3.00000E-05	 1.42405E+00	 1.42254E+00
 4.50000E-05	 1.42405E+00	 1.42254E+00
 4.50000E-05	 7.16891E-01	 7.15911E-01
 6.90000E-05	 7.16891E-01	 7.15911E-01
 6.90000E-05	 8.05628E-01	 8.04051E-01
 1.00000E-04	 8.05628E-01	 8.04051E-01
 1.00000E-04	 2.24977E-01	 2.24343E-01
 1.35000E-04	 2.24977E-01	 2.24343E-01
 1.35000E-04	 7.28085E-02	 7.25364E-02
 1.70000E-04	 7.28085E-02	 7.25364E-02
 1.70000E-04	 6.22720E-02	 6.20083E-02
 2.20000E-04	 6.22720E-02	 6.20083E-02
 2.20000E-04	 2.89326E-02	 2.87773E-02
 2.80000E-04	 2.89326E-02	 2.87773E-02
 2.80000E-04	 2.03455E-01	 2.02529E-01
 3.60000E-04	 2.03455E-01	 2.02529E-01
 3.60000E-04	 4.89289E-01	 4.87426E-01
 4.50000E-04	 4.89289E-01	 4.87426E-01
 4.50000E-04	 4.32846E-02	 4.30336E-02
 5.75000E-04	 4.32846E-02	 4.30336E-02
 5.75000E-04	 7.22631E-01	 7.20431E-01
 7.60000E-04	 7.22631E-01	 7.20431E-01
 7.60000E-04	 1.04051E+00	 1.03694E+00
 9.60000E-04	 1.04051E+00	 1.03694E+00
 9.60000E-04	 1.38168E+00	 1.37843E+00
 1.27500E-03	 1.38168E+00	 1.37843E+00
 1.27500E-03	 1.15831E+00	 1.15569E+00
 1.60000E-03	 1.15831E+00	 1.15569E+00
 1.60000E-03	 2.12590E+00	 2.12257E+00
 2.00000E-03	 2.12590E+00	 2.12257E+00
 2.00000E-03	 4.84574E+00	 4.83788E+00
 2.70000E-03	 4.84574E+00	 4.83788E+00
 2.70000E-03	 7.88054E+00	 7.87203E+00
 3.40000E-03	 7.88054E+00	 7.87203E+00
 3.40000E-03	 1.34311E+01	 1.34221E+01
 4.50000E-03	 1.34311E+01	 1.34221E+01
 4.50000E-03	 4.96051E+01	 4.95858E+01
 5.50000E-03	 4.96051E+01	 4.95858E+01
 5.50000E-03	 2.54929E+01	 2.54900E+01
 7.20000E-03	 2.54929E+01	 2.54900E+01
 7.20000E-03	 7.13148E+01	 7.13201E+01
 9.20000E-03	 7.13148E+01	 7.13201E+01
 9.20000E-03	 8.52820E+01	 8.52955E+01
 1.20000E-02	 8.52820E+01	 8.52955E+01
